datetime,container_id,fruit,origin_city,destination_market,temperature,humidity,pressure,wind_speed,rainfall,aqi,weather_status,spoilage_rate,shelf_life_days,risk_level,estimated_loss,arbitrage_savings,recommendation
2025-01-01 00:00:00,C188,Orange,Chennai,Chennai,27,52,1012,14.7,40.4,304,Cloudy,17,5,Medium,40024,12346,Monitor Shipment
2025-01-01 01:00:00,C191,Orange,Bengaluru,Bengaluru,29,26,1032,8.8,11.7,157,Storm,12,6,Medium,32225,11274,Monitor Shipment
2025-01-01 02:00:00,C152,Avocado,Hyderabad,Hyderabad,41,87,1016,24.0,64.3,229,Storm,14,6,Medium,46782,8658,Monitor Shipment
2025-01-01 03:00:00,C217,Banana,Lucknow,Chennai,23,87,1031,20.3,42.0,230,Cloudy,5,9,Low,8135,2694,Continue Route
2025-01-01 04:00:00,C035,Banana,Hyderabad,Hyderabad,24,40,998,12.8,50.6,237,Storm,24,2,High,97245,40090,Redirect to Nearby Market
2025-01-01 05:00:00,C197,Apple,Ahmedabad,Delhi,40,88,983,22.0,12.3,220,Sunny,23,3,High,121018,71293,Redirect to Nearby Market
2025-01-01 06:00:00,C029,Banana,Jaipur,Bengaluru,34,25,1019,21.8,36.2,305,Cloudy,23,3,High,129185,59074,Redirect to Nearby Market
2025-01-01 07:00:00,C005,Orange,Hyderabad,Hyderabad,26,92,1023,3.8,43.0,232,Cloudy,22,3,High,59622,79648,Redirect to Nearby Market
2025-01-01 08:00:00,C120,Apple,Pune,Hyderabad,39,42,1008,18.6,97.1,295,Clear,18,4,Medium,39463,5311,Monitor Shipment
2025-01-01 09:00:00,C204,Mango,Pune,Pune,41,86,986,18.6,13.1,164,Sunny,10,7,Low,5519,4310,Continue Route
2025-01-01 10:00:00,C232,Mango,Jaipur,Delhi,23,81,1025,4.8,34.2,240,Sunny,25,2,High,92444,37520,Redirect to Nearby Market
2025-01-01 11:00:00,C173,Banana,Lucknow,Hyderabad,32,89,993,3.9,118.0,94,Sunny,14,6,Medium,47089,12202,Monitor Shipment
2025-01-01 12:00:00,C144,Apple,Lucknow,Bengaluru,36,52,1020,4.7,119.5,92,Sunny,11,7,Low,8519,3219,Continue Route
2025-01-01 13:00:00,C032,Orange,Bengaluru,Pune,32,47,1001,15.3,110.1,182,Rainy,20,4,Medium,45097,8709,Monitor Shipment
2025-01-01 14:00:00,C220,Mango,Mumbai,Chennai,31,42,1029,11.8,16.9,328,Rainy,19,4,Medium,23224,13034,Monitor Shipment
2025-01-01 15:00:00,C144,Banana,Kolkata,Pune,27,86,981,10.0,13.1,125,Rainy,35,1,High,135627,61163,Redirect to Nearby Market
2025-01-01 16:00:00,C219,Apple,Ahmedabad,Mumbai,21,47,1025,19.4,50.1,73,Fog,31,1,High,93733,30143,Redirect to Nearby Market
2025-01-01 17:00:00,C291,Mango,Bengaluru,Mumbai,30,79,1001,5.4,45.4,165,Clear,16,5,Medium,16465,14239,Monitor Shipment
2025-01-01 18:00:00,C019,Mango,Ahmedabad,Pune,39,62,1035,10.8,73.6,223,Clear,7,8,Low,13252,2867,Continue Route
2025-01-01 19:00:00,C030,Banana,Mumbai,Pune,36,93,1010,19.7,82.4,121,Cloudy,15,5,Medium,38875,18684,Monitor Shipment
2025-01-01 20:00:00,C294,Avocado,Delhi,Hyderabad,37,27,1029,16.9,107.8,319,Sunny,5,9,Low,7447,4453,Continue Route
2025-01-01 21:00:00,C240,Orange,Hyderabad,Hyderabad,37,89,1024,24.7,22.9,171,Rainy,8,8,Low,14617,1771,Continue Route
2025-01-01 22:00:00,C088,Mango,Bengaluru,Hyderabad,25,88,1013,23.5,91.0,336,Rainy,10,7,Low,7010,3564,Continue Route
2025-01-01 23:00:00,C241,Orange,Pune,Chennai,33,62,1032,7.1,100.5,263,Fog,17,5,Medium,28975,16606,Monitor Shipment
2025-01-02 00:00:00,C229,Mango,Kolkata,Bengaluru,37,65,1030,8.7,54.6,114,Rainy,33,1,High,133092,42976,Redirect to Nearby Market
2025-01-02 01:00:00,C161,Orange,Mumbai,Mumbai,40,39,1002,16.2,107.6,348,Storm,24,2,High,144929,72817,Redirect to Nearby Market
2025-01-02 02:00:00,C277,Apple,Hyderabad,Delhi,23,87,1007,14.3,28.5,110,Storm,16,5,Medium,49755,6167,Monitor Shipment
2025-01-02 03:00:00,C261,Mango,Jaipur,Bengaluru,42,72,998,21.7,72.2,90,Storm,7,8,Low,10708,3618,Continue Route
2025-01-02 04:00:00,C054,Apple,Delhi,Chennai,33,56,1033,24.3,61.9,174,Sunny,19,4,Medium,24167,9165,Monitor Shipment
2025-01-02 05:00:00,C148,Avocado,Bengaluru,Bengaluru,19,70,1034,5.2,34.6,84,Clear,25,2,High,55931,78580,Redirect to Nearby Market
2025-01-02 06:00:00,C041,Mango,Mumbai,Chennai,42,35,1003,7.8,87.8,108,Cloudy,22,3,High,96330,37053,Redirect to Nearby Market
2025-01-02 07:00:00,C204,Orange,Hyderabad,Pune,19,30,1008,13.7,98.1,281,Sunny,10,7,Low,9109,1815,Continue Route
2025-01-02 08:00:00,C175,Avocado,Delhi,Mumbai,37,89,985,0.8,114.4,86,Rainy,13,6,Medium,48053,13559,Monitor Shipment
2025-01-02 09:00:00,C174,Orange,Delhi,Pune,26,33,1007,15.6,19.4,88,Rainy,31,1,High,122012,67294,Redirect to Nearby Market
2025-01-02 10:00:00,C244,Orange,Kolkata,Chennai,22,92,999,12.1,39.5,334,Storm,16,5,Medium,21047,7759,Monitor Shipment
2025-01-02 11:00:00,C057,Avocado,Pune,Hyderabad,22,56,997,3.8,110.7,59,Cloudy,17,5,Medium,40381,19146,Monitor Shipment
2025-01-02 12:00:00,C275,Banana,Kolkata,Mumbai,27,94,1017,0.8,78.5,267,Rainy,6,8,Low,11626,4364,Continue Route
2025-01-02 13:00:00,C283,Orange,Hyderabad,Pune,27,85,998,2.3,12.6,164,Storm,7,8,Low,14969,2229,Continue Route
2025-01-02 14:00:00,C215,Apple,Pune,Chennai,25,74,995,19.2,44.0,262,Storm,26,2,High,56260,69982,Redirect to Nearby Market
2025-01-02 15:00:00,C155,Banana,Hyderabad,Mumbai,35,66,1019,14.2,68.7,271,Sunny,29,1,High,93577,42769,Redirect to Nearby Market
2025-01-02 16:00:00,C269,Apple,Pune,Pune,29,59,1029,6.3,45.8,43,Rainy,19,4,Medium,42639,7210,Monitor Shipment
2025-01-02 17:00:00,C155,Apple,Bengaluru,Mumbai,38,85,997,2.6,77.7,216,Storm,5,9,Low,7246,3185,Continue Route
2025-01-02 18:00:00,C103,Apple,Mumbai,Pune,42,25,991,1.7,72.5,250,Rainy,7,8,Low,13151,2740,Continue Route
2025-01-02 19:00:00,C209,Apple,Hyderabad,Pune,20,38,992,13.3,8.8,42,Storm,12,6,Medium,46707,7403,Monitor Shipment
2025-01-02 20:00:00,C127,Apple,Jaipur,Bengaluru,35,95,1006,6.6,52.6,80,Storm,27,1,High,84829,50224,Redirect to Nearby Market
2025-01-02 21:00:00,C054,Avocado,Mumbai,Pune,40,83,980,9.0,47.3,77,Clear,14,6,Medium,40053,19012,Monitor Shipment
2025-01-02 22:00:00,C155,Orange,Lucknow,Hyderabad,22,85,1018,14.5,28.8,134,Fog,28,1,High,109234,73768,Redirect to Nearby Market
2025-01-02 23:00:00,C046,Orange,Hyderabad,Hyderabad,37,78,997,17.0,32.5,102,Storm,21,3,High,99802,66454,Redirect to Nearby Market
2025-01-03 00:00:00,C248,Mango,Mumbai,Chennai,24,94,1018,3.7,9.9,238,Clear,21,3,High,65429,35991,Redirect to Nearby Market
2025-01-03 01:00:00,C020,Orange,Jaipur,Chennai,34,31,1029,6.4,85.5,209,Sunny,17,5,Medium,41691,12481,Monitor Shipment
2025-01-03 02:00:00,C252,Orange,Kolkata,Delhi,41,65,1020,2.6,83.8,267,Clear,31,1,High,118513,25971,Redirect to Nearby Market
2025-01-03 03:00:00,C248,Avocado,Chennai,Hyderabad,41,36,987,20.9,45.2,69,Rainy,12,6,Medium,34478,9852,Monitor Shipment
2025-01-03 04:00:00,C278,Avocado,Lucknow,Bengaluru,33,25,1034,1.1,41.1,273,Storm,13,6,Medium,41147,7670,Monitor Shipment
2025-01-03 05:00:00,C110,Orange,Mumbai,Delhi,22,69,1035,22.0,101.1,345,Cloudy,15,5,Medium,45257,9058,Monitor Shipment
2025-01-03 06:00:00,C242,Mango,Jaipur,Bengaluru,37,41,991,13.7,26.5,325,Rainy,25,2,High,143842,67453,Redirect to Nearby Market
2025-01-03 07:00:00,C156,Mango,Bengaluru,Hyderabad,19,37,999,21.2,70.2,171,Fog,26,2,High,76519,72528,Redirect to Nearby Market
2025-01-03 08:00:00,C085,Apple,Pune,Hyderabad,35,69,1019,19.9,68.6,185,Cloudy,15,5,Medium,35880,14711,Monitor Shipment
2025-01-03 09:00:00,C299,Banana,Lucknow,Chennai,24,26,1011,11.3,17.2,348,Storm,7,8,Low,13422,3601,Continue Route
2025-01-03 10:00:00,C032,Orange,Mumbai,Hyderabad,28,32,1002,8.2,110.0,90,Clear,19,4,Medium,38131,10096,Monitor Shipment
2025-01-03 11:00:00,C044,Banana,Bengaluru,Delhi,40,34,1003,15.0,108.7,233,Rainy,17,5,Medium,39812,9546,Monitor Shipment
2025-01-03 12:00:00,C146,Avocado,Bengaluru,Mumbai,35,90,1029,22.1,98.2,122,Fog,28,1,High,87802,26921,Redirect to Nearby Market
2025-01-03 13:00:00,C192,Mango,Kolkata,Bengaluru,23,58,1005,5.0,77.6,184,Sunny,16,5,Medium,25075,14695,Monitor Shipment
2025-01-03 14:00:00,C087,Avocado,Delhi,Pune,19,57,1015,21.7,103.6,179,Clear,12,6,Medium,36588,5740,Monitor Shipment
2025-01-03 15:00:00,C251,Avocado,Lucknow,Mumbai,31,74,997,15.6,107.3,31,Fog,27,1,High,109553,40607,Redirect to Nearby Market
2025-01-03 16:00:00,C047,Mango,Bengaluru,Chennai,22,52,992,22.5,111.4,262,Cloudy,14,6,Medium,47150,16187,Monitor Shipment
2025-01-03 17:00:00,C176,Orange,Hyderabad,Pune,28,88,1014,7.9,80.3,269,Cloudy,20,4,Medium,44855,6162,Monitor Shipment
2025-01-03 18:00:00,C145,Apple,Ahmedabad,Bengaluru,26,36,1017,7.0,0.5,250,Clear,35,1,High,131424,65654,Redirect to Nearby Market
2025-01-03 19:00:00,C079,Apple,Delhi,Bengaluru,35,65,1005,17.3,116.4,347,Sunny,13,6,Medium,21905,10331,Monitor Shipment
2025-01-03 20:00:00,C291,Avocado,Bengaluru,Delhi,41,63,1017,2.8,11.8,331,Fog,5,9,Low,10422,4845,Continue Route
2025-01-03 21:00:00,C049,Banana,Kolkata,Mumbai,35,38,1017,15.9,5.7,338,Fog,34,1,High,65154,41623,Redirect to Nearby Market
2025-01-03 22:00:00,C208,Banana,Pune,Hyderabad,31,86,1022,8.1,74.1,312,Clear,7,8,Low,7938,4370,Continue Route
2025-01-03 23:00:00,C114,Apple,Chennai,Bengaluru,40,29,1016,7.8,60.4,98,Storm,26,2,High,105900,44290,Redirect to Nearby Market
2025-01-04 00:00:00,C004,Apple,Ahmedabad,Hyderabad,25,91,1013,24.0,51.5,114,Fog,34,1,High,52467,78049,Redirect to Nearby Market
2025-01-04 01:00:00,C265,Banana,Pune,Chennai,36,62,1024,16.4,49.6,288,Cloudy,31,1,High,62738,46186,Redirect to Nearby Market
2025-01-04 02:00:00,C041,Mango,Lucknow,Pune,27,44,1030,24.5,55.3,324,Clear,27,1,High,128605,49113,Redirect to Nearby Market
2025-01-04 03:00:00,C179,Mango,Jaipur,Hyderabad,39,55,1030,8.6,101.5,62,Fog,23,3,High,149411,73529,Redirect to Nearby Market
2025-01-04 04:00:00,C159,Orange,Hyderabad,Chennai,31,70,1014,3.5,99.8,129,Rainy,29,1,High,104665,60089,Redirect to Nearby Market
2025-01-04 05:00:00,C272,Orange,Chennai,Bengaluru,32,74,1021,6.3,109.8,209,Sunny,25,2,High,108982,29691,Redirect to Nearby Market
2025-01-04 06:00:00,C197,Mango,Ahmedabad,Mumbai,22,84,998,14.3,77.5,193,Storm,16,5,Medium,18884,5739,Monitor Shipment
2025-01-04 07:00:00,C166,Mango,Jaipur,Bengaluru,41,57,984,15.6,15.2,225,Storm,5,9,Low,8933,4592,Continue Route
2025-01-04 08:00:00,C225,Apple,Lucknow,Hyderabad,31,91,1026,2.7,93.0,155,Storm,7,8,Low,11777,1321,Continue Route
2025-01-04 09:00:00,C102,Mango,Jaipur,Chennai,34,62,994,0.8,67.5,107,Sunny,30,1,High,88325,45091,Redirect to Nearby Market
2025-01-04 10:00:00,C265,Banana,Jaipur,Chennai,26,88,1024,5.1,83.0,326,Clear,13,6,Medium,17798,5267,Monitor Shipment
2025-01-04 11:00:00,C039,Apple,Kolkata,Pune,32,67,1017,5.4,46.6,291,Clear,24,2,High,54624,60054,Redirect to Nearby Market
2025-01-04 12:00:00,C269,Apple,Bengaluru,Chennai,36,49,1012,24.3,66.2,271,Clear,31,1,High,131132,63941,Redirect to Nearby Market
2025-01-04 13:00:00,C192,Apple,Pune,Chennai,19,25,1033,4.6,99.1,262,Fog,28,1,High,134031,47900,Redirect to Nearby Market
2025-01-04 14:00:00,C229,Avocado,Kolkata,Delhi,42,84,1008,9.8,36.7,265,Rainy,22,3,High,69227,46599,Redirect to Nearby Market
2025-01-04 15:00:00,C299,Avocado,Pune,Delhi,40,92,991,10.8,68.4,164,Rainy,32,1,High,144824,22202,Redirect to Nearby Market
2025-01-04 16:00:00,C217,Avocado,Bengaluru,Hyderabad,33,73,1019,14.1,49.6,253,Storm,17,5,Medium,32521,14011,Monitor Shipment
2025-01-04 17:00:00,C044,Apple,Pune,Mumbai,31,64,993,15.6,73.1,349,Clear,12,6,Medium,40578,6986,Monitor Shipment
2025-01-04 18:00:00,C296,Banana,Jaipur,Mumbai,19,89,980,10.8,25.1,326,Sunny,12,6,Medium,39170,12455,Monitor Shipment
2025-01-04 19:00:00,C255,Mango,Kolkata,Chennai,34,50,997,3.7,83.3,243,Fog,28,1,High,60169,69314,Redirect to Nearby Market
2025-01-04 20:00:00,C122,Orange,Delhi,Mumbai,41,26,996,4.7,85.6,110,Cloudy,16,5,Medium,46557,7148,Monitor Shipment
2025-01-04 21:00:00,C207,Banana,Delhi,Chennai,19,27,1024,7.9,30.2,107,Sunny,31,1,High,146283,29596,Redirect to Nearby Market
2025-01-04 22:00:00,C077,Apple,Lucknow,Pune,23,64,988,19.2,88.6,294,Rainy,33,1,High,107779,47297,Redirect to Nearby Market
2025-01-04 23:00:00,C154,Orange,Lucknow,Chennai,22,68,998,1.4,93.2,36,Storm,14,6,Medium,28845,8845,Monitor Shipment
2025-01-05 00:00:00,C034,Banana,Mumbai,Chennai,25,51,1023,5.7,63.9,234,Rainy,18,4,Medium,20246,16055,Monitor Shipment
2025-01-05 01:00:00,C266,Mango,Mumbai,Hyderabad,26,35,1025,20.7,73.3,254,Fog,11,7,Low,9346,1543,Continue Route
2025-01-05 02:00:00,C229,Mango,Delhi,Mumbai,31,66,995,3.2,17.6,341,Storm,14,6,Medium,33383,14532,Monitor Shipment
2025-01-05 03:00:00,C181,Apple,Lucknow,Bengaluru,39,82,1023,16.5,38.7,338,Sunny,10,7,Low,11619,3786,Continue Route
2025-01-05 04:00:00,C253,Banana,Chennai,Bengaluru,26,58,1014,22.2,96.0,114,Rainy,6,8,Low,8255,3208,Continue Route
2025-01-05 05:00:00,C285,Mango,Jaipur,Pune,37,83,1033,0.6,2.2,331,Storm,21,3,High,50260,72603,Redirect to Nearby Market
2025-01-05 06:00:00,C041,Avocado,Lucknow,Delhi,21,71,992,22.3,64.7,57,Clear,21,3,High,94577,27693,Redirect to Nearby Market
2025-01-05 07:00:00,C015,Banana,Bengaluru,Bengaluru,29,93,1002,22.8,94.1,269,Storm,31,1,High,130785,24829,Redirect to Nearby Market
2025-01-05 08:00:00,C116,Apple,Mumbai,Pune,18,94,1003,22.3,2.7,200,Clear,12,6,Medium,19219,11564,Monitor Shipment
2025-01-05 09:00:00,C124,Orange,Ahmedabad,Bengaluru,35,51,1022,3.2,16.7,344,Sunny,35,1,High,117000,23879,Redirect to Nearby Market
2025-01-05 10:00:00,C298,Avocado,Jaipur,Bengaluru,31,63,1030,3.1,39.5,309,Cloudy,23,3,High,91236,47266,Redirect to Nearby Market
2025-01-05 11:00:00,C145,Apple,Kolkata,Mumbai,39,43,1015,21.9,81.2,263,Clear,7,8,Low,7646,4581,Continue Route
2025-01-05 12:00:00,C135,Apple,Delhi,Mumbai,19,82,1004,7.4,73.8,122,Rainy,28,1,High,104907,66614,Redirect to Nearby Market
2025-01-05 13:00:00,C054,Orange,Delhi,Delhi,27,79,980,8.5,81.7,341,Clear,9,7,Low,14159,3064,Continue Route
2025-01-05 14:00:00,C118,Mango,Pune,Mumbai,28,39,999,3.9,1.5,53,Storm,13,6,Medium,49867,6550,Monitor Shipment
2025-01-05 15:00:00,C023,Avocado,Lucknow,Hyderabad,30,27,1031,9.0,79.7,126,Rainy,11,7,Low,10034,3796,Continue Route
2025-01-05 16:00:00,C007,Banana,Delhi,Delhi,23,39,1006,20.2,23.5,264,Sunny,6,8,Low,6292,2796,Continue Route
2025-01-05 17:00:00,C099,Avocado,Jaipur,Bengaluru,27,44,1031,1.6,108.6,255,Sunny,28,1,High,105168,65399,Redirect to Nearby Market
2025-01-05 18:00:00,C044,Mango,Jaipur,Mumbai,31,40,1023,1.6,27.5,194,Fog,32,1,High,64958,55757,Redirect to Nearby Market
