datetime,city,temperature,humidity,pressure,wind_speed,rainfall,aqi,status
2025-01-01 00:00:00,Jaipur,33,41,1014,15.5,47.4,50,Fog
2025-01-01 01:00:00,Jaipur,40,83,985,20.9,22.5,69,Rainy
2025-01-01 02:00:00,Pune,41,50,994,9.7,20.0,337,Sunny
2025-01-01 03:00:00,Mumbai,32,88,1011,19.3,115.2,36,Cloudy
2025-01-01 04:00:00,Mumbai,23,65,996,7.1,22.1,195,Rainy
2025-01-01 05:00:00,Kolkata,21,42,1001,4.2,116.0,318,Sunny
2025-01-01 06:00:00,Jaipur,19,66,1027,16.1,72.5,225,Cloudy
2025-01-01 07:00:00,Ahmedabad,24,83,1012,11.8,76.2,39,Rainy
2025-01-01 08:00:00,Bengaluru,30,50,1000,4.7,28.2,295,Rainy
2025-01-01 09:00:00,Delhi,20,72,995,5.6,13.0,334,Rainy
2025-01-01 10:00:00,Jaipur,26,83,983,7.1,47.7,277,Sunny
2025-01-01 11:00:00,Kolkata,38,53,1020,9.9,113.1,134,Sunny
2025-01-01 12:00:00,Ahmedabad,34,67,989,11.6,90.6,42,Rainy
2025-01-01 13:00:00,Jaipur,18,30,1019,23.4,66.5,266,Clear
2025-01-01 14:00:00,Kolkata,21,28,1026,13.3,84.7,144,Clear
2025-01-01 15:00:00,Kolkata,19,28,1014,10.9,48.8,206,Cloudy
2025-01-01 16:00:00,Jaipur,34,81,989,19.4,106.3,319,Cloudy
2025-01-01 17:00:00,Kolkata,40,81,1032,13.4,56.1,111,Clear
2025-01-01 18:00:00,Mumbai,24,89,999,3.1,104.2,294,Sunny
2025-01-01 19:00:00,Pune,37,79,1004,1.3,80.7,262,Rainy
2025-01-01 20:00:00,Hyderabad,18,47,1030,8.6,104.4,161,Sunny
2025-01-01 21:00:00,Chennai,30,43,988,21.1,69.9,128,Sunny
2025-01-01 22:00:00,Chennai,30,64,1010,11.9,34.4,170,Cloudy
2025-01-01 23:00:00,Kolkata,30,53,1027,6.8,36.2,341,Cloudy
2025-01-02 00:00:00,Lucknow,25,30,998,16.2,69.8,335,Clear
2025-01-02 01:00:00,Ahmedabad,27,61,1020,9.4,14.1,181,Cloudy
2025-01-02 02:00:00,Pune,40,86,987,23.1,17.6,158,Sunny
2025-01-02 03:00:00,Jaipur,30,87,997,10.3,21.8,214,Fog
2025-01-02 04:00:00,Jaipur,19,81,1029,1.2,105.4,229,Rainy
2025-01-02 05:00:00,Bengaluru,31,54,1031,16.4,67.0,141,Sunny
2025-01-02 06:00:00,Lucknow,41,25,999,12.0,71.6,63,Rainy
2025-01-02 07:00:00,Kolkata,25,25,1005,23.7,109.8,184,Clear
2025-01-02 08:00:00,Hyderabad,29,71,980,6.1,33.9,229,Fog
2025-01-02 09:00:00,Delhi,26,31,1017,11.6,116.1,174,Fog
2025-01-02 10:00:00,Lucknow,37,33,994,3.1,34.2,316,Fog
2025-01-02 11:00:00,Jaipur,35,39,1009,24.8,38.6,195,Sunny
2025-01-02 12:00:00,Delhi,32,43,1033,22.9,52.1,66,Clear
2025-01-02 13:00:00,Ahmedabad,36,47,1031,2.8,67.5,96,Fog
2025-01-02 14:00:00,Hyderabad,18,31,1006,18.0,63.4,263,Fog
2025-01-02 15:00:00,Jaipur,28,91,984,12.5,78.1,70,Storm
2025-01-02 16:00:00,Ahmedabad,35,48,1020,5.1,4.3,56,Rainy
2025-01-02 17:00:00,Delhi,18,34,987,15.9,19.6,316,Sunny
2025-01-02 18:00:00,Kolkata,39,87,1000,3.2,29.8,122,Rainy
2025-01-02 19:00:00,Lucknow,33,69,990,3.7,97.8,110,Sunny
2025-01-02 20:00:00,Mumbai,26,60,991,19.2,68.1,322,Fog
2025-01-02 21:00:00,Lucknow,41,83,996,10.9,44.2,255,Storm
2025-01-02 22:00:00,Jaipur,36,68,1021,13.4,14.5,347,Rainy
2025-01-02 23:00:00,Ahmedabad,27,47,992,3.2,7.3,73,Fog
2025-01-03 00:00:00,Pune,19,32,1004,8.1,73.6,97,Sunny
2025-01-03 01:00:00,Delhi,36,62,1022,5.9,113.2,177,Cloudy
2025-01-03 02:00:00,Pune,29,44,990,21.3,43.3,340,Cloudy
2025-01-03 03:00:00,Mumbai,23,30,997,11.7,108.0,132,Rainy
2025-01-03 04:00:00,Hyderabad,19,95,1034,14.0,108.8,137,Fog
2025-01-03 05:00:00,Pune,36,67,997,16.5,76.4,118,Clear
2025-01-03 06:00:00,Mumbai,18,71,1022,12.7,87.3,62,Clear
2025-01-03 07:00:00,Lucknow,23,38,1024,10.7,68.9,221,Cloudy
2025-01-03 08:00:00,Lucknow,36,82,1022,21.3,16.5,88,Storm
2025-01-03 09:00:00,Chennai,31,80,999,10.6,27.9,195,Cloudy
2025-01-03 10:00:00,Mumbai,22,88,1028,18.7,24.3,299,Fog
2025-01-03 11:00:00,Kolkata,29,92,1021,19.7,99.8,340,Storm
2025-01-03 12:00:00,Pune,34,57,980,3.2,56.4,107,Sunny
2025-01-03 13:00:00,Lucknow,28,39,1018,15.1,17.0,239,Sunny
2025-01-03 14:00:00,Lucknow,29,67,1035,4.1,66.0,176,Fog
2025-01-03 15:00:00,Hyderabad,37,70,1017,17.4,12.3,253,Storm
2025-01-03 16:00:00,Lucknow,26,54,1029,8.0,22.6,100,Cloudy
2025-01-03 17:00:00,Delhi,34,94,1002,1.9,21.8,181,Clear
2025-01-03 18:00:00,Hyderabad,36,71,1003,10.1,18.0,324,Sunny
2025-01-03 19:00:00,Chennai,39,30,1019,17.6,51.0,293,Cloudy
2025-01-03 20:00:00,Ahmedabad,37,42,990,9.5,106.0,145,Fog
2025-01-03 21:00:00,Bengaluru,18,48,987,13.6,39.3,211,Sunny
2025-01-03 22:00:00,Chennai,18,84,1031,24.9,10.7,221,Storm
2025-01-03 23:00:00,Pune,29,71,988,8.8,25.0,78,Rainy
2025-01-04 00:00:00,Ahmedabad,26,28,1015,12.1,49.1,103,Clear
2025-01-04 01:00:00,Mumbai,30,73,1028,0.8,106.5,248,Clear
2025-01-04 02:00:00,Lucknow,35,65,1016,21.6,24.0,167,Fog
2025-01-04 03:00:00,Mumbai,32,38,1033,19.0,35.7,320,Sunny
2025-01-04 04:00:00,Ahmedabad,36,45,994,11.2,55.9,330,Fog
2025-01-04 05:00:00,Mumbai,19,92,999,12.0,0.6,280,Cloudy
2025-01-04 06:00:00,Mumbai,32,62,1023,9.0,82.5,187,Sunny
2025-01-04 07:00:00,Lucknow,38,59,982,9.3,117.3,141,Fog
2025-01-04 08:00:00,Jaipur,23,87,1002,18.3,42.9,115,Clear
2025-01-04 09:00:00,Jaipur,41,58,1003,1.8,52.5,284,Rainy
2025-01-04 10:00:00,Lucknow,18,95,1025,2.7,99.5,338,Fog
2025-01-04 11:00:00,Bengaluru,31,59,1011,2.6,19.1,33,Storm
2025-01-04 12:00:00,Jaipur,32,41,983,2.4,3.5,95,Cloudy
2025-01-04 13:00:00,Chennai,38,32,1031,4.4,66.5,49,Cloudy
2025-01-04 14:00:00,Hyderabad,25,28,986,11.7,80.3,270,Clear
2025-01-04 15:00:00,Kolkata,33,87,1014,2.9,49.4,292,Fog
2025-01-04 16:00:00,Lucknow,35,73,1031,2.7,6.4,207,Cloudy
2025-01-04 17:00:00,Pune,23,48,1033,21.4,113.4,288,Storm
2025-01-04 18:00:00,Lucknow,33,45,1030,3.9,5.0,257,Cloudy
2025-01-04 19:00:00,Delhi,24,40,987,2.4,68.3,335,Storm
2025-01-04 20:00:00,Hyderabad,41,77,1025,1.5,118.7,166,Storm
2025-01-04 21:00:00,Chennai,22,38,992,19.4,90.2,140,Sunny
2025-01-04 22:00:00,Kolkata,27,48,1027,17.8,94.5,335,Storm
2025-01-04 23:00:00,Mumbai,35,60,1015,24.7,35.5,251,Sunny
2025-01-05 00:00:00,Jaipur,25,27,1024,13.4,94.1,110,Rainy
2025-01-05 01:00:00,Bengaluru,33,88,1032,4.7,62.3,133,Rainy
2025-01-05 02:00:00,Jaipur,20,70,999,20.5,30.9,348,Sunny
2025-01-05 03:00:00,Mumbai,40,58,1002,16.3,79.8,225,Sunny
2025-01-05 04:00:00,Mumbai,20,63,981,9.3,62.6,192,Sunny
2025-01-05 05:00:00,Bengaluru,37,29,1029,0.7,79.2,171,Sunny
2025-01-05 06:00:00,Jaipur,27,76,1035,17.1,35.7,269,Sunny
2025-01-05 07:00:00,Jaipur,22,46,991,6.2,94.6,279,Fog
2025-01-05 08:00:00,Lucknow,41,78,992,21.5,93.4,122,Cloudy
2025-01-05 09:00:00,Delhi,42,46,1028,13.8,29.0,236,Sunny
2025-01-05 10:00:00,Kolkata,18,95,1033,17.6,15.1,248,Cloudy
2025-01-05 11:00:00,Delhi,40,50,1035,2.2,117.2,96,Cloudy
2025-01-05 12:00:00,Hyderabad,20,55,1035,4.4,82.3,202,Storm
2025-01-05 13:00:00,Kolkata,29,31,1018,14.5,110.8,295,Clear
2025-01-05 14:00:00,Mumbai,22,79,1002,11.0,16.1,49,Sunny
2025-01-05 15:00:00,Kolkata,30,27,1007,1.1,13.3,349,Fog
2025-01-05 16:00:00,Jaipur,24,80,1008,20.7,14.8,115,Clear
2025-01-05 17:00:00,Pune,32,60,1028,20.2,55.3,300,Storm
2025-01-05 18:00:00,Ahmedabad,35,85,1032,9.4,80.1,234,Fog
2025-01-05 19:00:00,Chennai,21,70,1015,10.4,112.6,277,Storm
2025-01-05 20:00:00,Hyderabad,32,95,1026,18.3,96.9,32,Fog
2025-01-05 21:00:00,Mumbai,32,61,1027,6.8,54.5,32,Clear
2025-01-05 22:00:00,Delhi,19,68,1029,15.2,34.4,139,Fog
2025-01-05 23:00:00,Hyderabad,41,59,1023,10.4,105.4,268,Rainy
2025-01-06 00:00:00,Mumbai,28,94,1012,16.2,12.0,210,Storm
2025-01-06 01:00:00,Chennai,19,30,997,5.2,74.6,213,Rainy
2025-01-06 02:00:00,Pune,33,78,1029,11.4,73.2,85,Sunny
2025-01-06 03:00:00,Jaipur,31,67,1028,17.2,83.5,31,Storm
2025-01-06 04:00:00,Delhi,39,28,1017,10.8,60.9,198,Clear
2025-01-06 05:00:00,Bengaluru,26,26,986,1.6,5.9,178,Rainy
2025-01-06 06:00:00,Lucknow,21,67,1024,5.0,95.8,338,Cloudy
2025-01-06 07:00:00,Chennai,27,81,1006,16.2,9.6,97,Rainy
2025-01-06 08:00:00,Pune,24,86,1020,8.4,55.2,286,Fog
2025-01-06 09:00:00,Jaipur,39,57,988,11.1,28.6,342,Fog
2025-01-06 10:00:00,Chennai,31,31,1013,1.2,46.5,233,Fog
2025-01-06 11:00:00,Hyderabad,29,71,1005,10.8,47.0,47,Rainy
2025-01-06 12:00:00,Kolkata,27,83,1029,19.4,104.8,135,Sunny
2025-01-06 13:00:00,Bengaluru,36,94,1013,9.8,93.4,111,Cloudy
2025-01-06 14:00:00,Mumbai,40,27,989,14.4,22.3,50,Cloudy
2025-01-06 15:00:00,Jaipur,36,73,1009,23.9,33.9,323,Clear
2025-01-06 16:00:00,Lucknow,33,80,989,15.8,22.2,31,Rainy
2025-01-06 17:00:00,Chennai,31,79,1032,5.3,15.7,123,Fog
2025-01-06 18:00:00,Pune,19,78,1029,12.6,117.5,195,Rainy
2025-01-06 19:00:00,Bengaluru,34,79,990,14.3,119.0,148,Cloudy
2025-01-06 20:00:00,Chennai,18,61,993,10.1,5.6,187,Sunny
2025-01-06 21:00:00,Jaipur,41,50,1035,17.9,53.7,164,Storm
2025-01-06 22:00:00,Mumbai,23,30,990,17.6,28.8,85,Cloudy
2025-01-06 23:00:00,Chennai,41,45,1024,8.4,45.2,279,Fog
2025-01-07 00:00:00,Bengaluru,33,58,1005,0.9,90.7,42,Fog
2025-01-07 01:00:00,Mumbai,20,71,989,10.9,73.0,112,Storm
2025-01-07 02:00:00,Bengaluru,36,73,1019,23.7,24.1,256,Cloudy
2025-01-07 03:00:00,Hyderabad,18,94,1002,23.0,19.5,158,Rainy
2025-01-07 04:00:00,Bengaluru,21,45,1016,5.4,92.7,99,Fog
2025-01-07 05:00:00,Lucknow,41,39,1018,23.2,44.6,146,Sunny
2025-01-07 06:00:00,Jaipur,26,65,1026,8.0,6.4,295,Clear
2025-01-07 07:00:00,Delhi,25,59,1029,22.6,34.7,31,Rainy
2025-01-07 08:00:00,Delhi,26,33,995,5.8,42.6,150,Storm
2025-01-07 09:00:00,Hyderabad,38,44,1030,21.6,36.0,300,Fog
2025-01-07 10:00:00,Hyderabad,28,77,1032,13.1,11.1,210,Fog
2025-01-07 11:00:00,Lucknow,24,39,1004,0.7,107.8,304,Clear
2025-01-07 12:00:00,Chennai,26,82,1007,16.8,94.0,236,Cloudy
2025-01-07 13:00:00,Hyderabad,35,85,992,17.1,105.9,132,Storm
2025-01-07 14:00:00,Hyderabad,36,84,1017,3.7,80.4,40,Fog
2025-01-07 15:00:00,Bengaluru,20,33,1030,8.6,28.3,82,Storm
2025-01-07 16:00:00,Pune,37,60,1016,18.7,47.5,262,Cloudy
2025-01-07 17:00:00,Delhi,27,41,1009,4.3,27.8,79,Clear
2025-01-07 18:00:00,Ahmedabad,27,74,1014,12.0,100.1,151,Storm
2025-01-07 19:00:00,Hyderabad,31,63,1015,16.5,105.2,113,Rainy
2025-01-07 20:00:00,Pune,23,45,982,9.3,40.0,120,Rainy
2025-01-07 21:00:00,Bengaluru,34,83,1012,16.1,9.8,314,Rainy
2025-01-07 22:00:00,Kolkata,35,72,987,3.4,45.5,281,Cloudy
2025-01-07 23:00:00,Lucknow,35,27,984,21.6,65.0,210,Clear
2025-01-08 00:00:00,Kolkata,42,30,992,8.6,0.4,48,Clear
2025-01-08 01:00:00,Delhi,34,72,991,10.9,38.0,127,Clear
2025-01-08 02:00:00,Lucknow,18,92,996,19.8,110.8,182,Sunny
2025-01-08 03:00:00,Kolkata,28,58,1009,14.9,67.8,343,Clear
2025-01-08 04:00:00,Delhi,34,68,1035,9.7,93.2,274,Clear
2025-01-08 05:00:00,Pune,37,27,996,9.5,76.2,193,Rainy
2025-01-08 06:00:00,Ahmedabad,33,80,992,21.2,40.4,123,Fog
2025-01-08 07:00:00,Lucknow,31,43,988,16.4,20.5,345,Sunny
2025-01-08 08:00:00,Pune,18,38,1021,1.2,30.9,265,Clear
2025-01-08 09:00:00,Jaipur,38,31,1024,16.9,90.4,85,Cloudy
2025-01-08 10:00:00,Hyderabad,34,46,1004,6.4,61.1,286,Cloudy
2025-01-08 11:00:00,Ahmedabad,26,29,1033,1.0,78.2,79,Fog
2025-01-08 12:00:00,Hyderabad,38,68,1032,17.4,28.9,344,Storm
2025-01-08 13:00:00,Bengaluru,34,78,1018,25.0,5.2,76,Cloudy
2025-01-08 14:00:00,Mumbai,25,70,1013,18.7,10.4,31,Fog
2025-01-08 15:00:00,Chennai,37,25,1028,20.3,26.4,66,Rainy
2025-01-08 16:00:00,Delhi,24,66,987,21.9,56.6,215,Clear
2025-01-08 17:00:00,Chennai,41,66,1031,4.2,22.5,80,Storm
2025-01-08 18:00:00,Bengaluru,38,78,996,6.1,79.1,301,Storm
2025-01-08 19:00:00,Chennai,22,46,1031,19.3,32.2,211,Cloudy
2025-01-08 20:00:00,Lucknow,38,95,1000,5.8,6.2,311,Fog
2025-01-08 21:00:00,Delhi,41,30,1033,20.5,14.8,90,Fog
2025-01-08 22:00:00,Hyderabad,20,50,1011,19.4,60.2,31,Rainy
2025-01-08 23:00:00,Kolkata,29,35,1018,9.9,23.2,240,Sunny
